City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,284.27,71,91,7.15,NZ,1709921136
1,yeniseysk,58.4497,92.1703,250.34,100,87,0.89,RU,1709921137
2,badger,64.8,-147.5333,255.03,63,75,0.0,US,1709921139
3,wailua homesteads,22.0669,-159.378,294.12,77,75,9.77,US,1709921140
4,trujillo,-8.116,-79.03,298.13,78,0,5.66,PE,1709921141
5,vanimo,-2.6741,141.3028,298.64,91,84,2.59,PG,1709921142
6,adamstown,-25.066,-130.1015,298.22,77,9,3.29,PN,1709921144
7,port-aux-francais,-49.35,70.2167,278.79,68,60,7.93,TF,1709921145
8,fairfield,41.2668,-73.3162,285.96,44,0,5.14,US,1709921146
9,richards bay,-28.783,32.0377,298.9,83,58,5.73,ZA,1709921148
10,bela,25.9333,81.9833,292.64,31,0,3.78,IN,1709921149
11,moyale,3.5167,39.0584,301.83,40,74,3.52,KE,1709921150
12,at-bashi,41.1702,75.8106,261.7,81,30,1.69,KG,1709921152
13,bredasdorp,-34.5322,20.0403,292.92,72,1,3.19,ZA,1709921153
14,puerto natales,-51.7236,-72.4875,283.4,87,100,1.03,CL,1709921155
15,primero de mayo,-32.2552,-58.4228,306.38,38,28,3.78,AR,1709921156
16,bethel,41.3712,-73.414,285.87,40,0,1.54,US,1709921157
17,kalabo,-14.97,22.6814,299.07,61,100,1.19,ZM,1709921159
18,lebu,-37.6167,-73.65,287.6,90,100,1.58,CL,1709921160
19,vilyuchinsk,52.9306,158.4028,264.3,82,90,5.31,RU,1709921161
20,ta`u,-14.2336,-169.5144,301.57,73,100,4.67,AS,1709921163
21,kodiak,57.79,-152.4072,273.88,75,0,4.12,US,1709921164
22,waitangi,-43.9535,-176.5597,286.94,77,34,2.68,NZ,1709921165
23,nuuk,64.1835,-51.7216,262.49,79,75,7.72,GL,1709921167
24,troitsko-pechorsk,62.7084,56.1964,256.31,99,96,2.68,RU,1709921168
25,hithadhoo,-0.6,73.0833,301.44,72,94,3.69,MV,1709921169
26,olonkinbyen,70.9221,-8.7187,274.0,93,99,6.16,SJ,1709921171
27,keflavik,64.0049,-22.5624,282.1,81,75,11.32,IS,1709921172
28,blackmans bay,-43.0167,147.3167,287.22,90,100,0.45,AU,1709921173
29,edinburgh of the seven seas,-37.0676,-12.3116,291.33,82,55,8.36,SH,1709921175
30,lihue,21.9789,-159.3672,294.46,77,75,9.77,US,1709921176
31,hammerfest,70.6634,23.6821,275.4,100,75,1.54,NO,1709921177
32,ushuaia,-54.8,-68.3,285.96,67,0,5.66,AR,1709921179
33,tiksi,71.6872,128.8694,241.19,100,47,1.38,RU,1709921180
34,yellowknife,62.456,-114.3525,257.82,75,20,1.54,CA,1709920922
35,tual,-5.6667,132.75,300.46,88,100,8.73,ID,1709921183
36,bodo,67.28,14.405,275.8,92,75,1.54,NO,1709921184
37,terrace,54.5163,-128.6035,275.1,93,100,1.03,CA,1709921051
38,tura,25.5198,90.2201,290.68,28,0,1.14,IN,1709921186
39,palanga,55.9175,21.0686,273.16,93,100,2.06,LT,1709921188
40,chulakkurgan,43.765,69.1814,281.95,59,84,3.07,KZ,1709921189
41,tazacorte,28.629,-17.9293,292.69,73,20,3.13,ES,1709921190
42,houlton,46.1262,-67.8403,274.38,55,0,3.6,US,1709920934
43,mili,6.0815,171.735,300.86,78,100,11.87,MH,1709921193
44,grytviken,-54.2811,-36.5092,279.68,73,67,5.11,GS,1709921195
45,port douglas,-16.4833,145.4667,299.72,88,100,6.35,AU,1709921196
46,uturoa,-16.7333,-151.4333,301.06,78,71,4.85,PF,1709921197
47,ribeira grande,38.5167,-28.7,289.69,59,40,11.32,PT,1709921199
48,carnarvon,-24.8667,113.6333,298.57,75,12,11.08,AU,1709921200
49,ujae,8.9322,165.7642,299.82,80,100,11.05,MH,1709921201
50,salat,37.84,40.8942,280.3,54,72,1.32,TR,1709921203
51,kwang binh,17.4833,106.6,293.36,88,97,2.74,VN,1709921204
52,bilibino,68.0546,166.4372,246.84,98,88,0.74,RU,1709921205
53,susuman,62.7833,148.1667,241.01,100,93,1.06,RU,1709921207
54,buala,-8.145,159.5921,299.91,86,56,2.11,SB,1709921208
55,whitehorse,60.7161,-135.0538,270.58,80,75,7.72,CA,1709921098
56,shihezi,44.3,86.0333,265.7,83,59,1.93,CN,1709921211
57,bo phloi,14.3236,99.5161,299.63,75,99,1.01,TH,1709921212
58,karwar,14.8,74.1333,297.75,76,18,2.6,IN,1709921213
59,alpena,45.0617,-83.4327,281.88,84,100,4.12,US,1709921215
60,axim,4.8699,-2.2405,301.24,81,67,4.69,GH,1709921216
61,bengkulu,-3.8004,102.2655,297.15,92,100,2.36,ID,1709921217
62,lauro de freitas,-12.8944,-38.3272,305.16,66,75,5.14,BR,1709921218
63,wrzesnia,52.3251,17.5652,278.46,60,0,3.49,PL,1709921220
64,daru,-9.0763,143.2092,299.77,89,100,2.27,PG,1709921221
65,georgetown,5.4112,100.3354,301.12,84,20,0.51,MY,1709921136
66,island harbour,50.724,-1.2758,282.77,78,100,3.13,GB,1709921224
67,qaqortoq,60.7167,-46.0333,269.93,90,97,4.15,GL,1709921225
68,blanchard,35.1378,-97.6581,284.01,87,100,8.61,US,1709921227
69,puerto ayora,-0.7393,-90.3518,303.13,89,39,4.02,EC,1709921228
70,el calafate,-50.3408,-72.2768,283.76,64,100,4.6,AR,1709921229
71,haiku-pauwela,20.9219,-156.3051,295.95,85,20,7.15,US,1709921231
72,todos santos,23.45,-110.2167,297.76,66,21,4.52,MX,1709921232
73,puerto baquerizo moreno,-0.9,-89.6,302.7,84,40,3.09,EC,1709921233
74,vorkuta,67.5,64.0,245.02,99,35,2.81,RU,1709921235
75,el granada,37.5027,-122.4694,290.08,61,0,1.54,US,1709921236
76,ancud,-41.8697,-73.8203,287.17,65,80,6.94,CL,1709921238
77,lata,40.1629,-8.3327,288.05,84,100,6.92,PT,1709921239
78,ola,59.5833,151.2833,255.8,82,100,3.24,RU,1709921241
79,arraial do cabo,-22.9661,-42.0278,301.13,78,40,6.17,BR,1709920971
80,piti village,13.4626,144.6933,300.64,76,40,3.6,GU,1709921243
81,mhamid,29.82,-5.72,296.58,15,0,4.22,MA,1709921245
82,college,64.8569,-147.8028,255.08,67,75,0.0,US,1709921246
83,margaret river,-33.95,115.0667,288.3,60,3,5.92,AU,1709920949
84,gore,-46.1028,168.9436,283.33,93,100,4.65,NZ,1709921249
85,iqaluit,63.7506,-68.5145,245.2,68,14,3.23,CA,1709921250
86,avarua,-21.2078,-159.775,299.18,94,20,2.57,CK,1709921252
87,kuusamo,65.9667,29.1833,270.17,63,100,2.06,FI,1709921263
88,xinzhou,38.4092,112.7333,274.08,30,0,0.32,CN,1709921264
89,bafq,31.6128,55.4107,291.86,31,98,6.9,IR,1709921266
90,thompson,55.7435,-97.8558,266.11,84,100,3.97,CA,1709921267
91,bichura,50.5881,107.6022,259.18,97,41,1.2,RU,1709921278
92,mana,5.6592,-53.7767,302.67,68,83,5.87,GF,1709921280
93,novodvinsk,64.4165,40.8122,263.01,95,49,2.08,RU,1709921281
94,at taj,24.2049,23.2857,297.85,13,0,5.75,LY,1709921283
95,touros,-5.1989,-35.4608,300.87,79,100,5.11,BR,1709921289
96,klyuchi,52.2667,79.1667,259.2,98,71,2.95,RU,1709921293
97,namtsy,62.7161,129.6658,244.81,100,100,0.8,RU,1709921294
98,mumford,5.2618,-0.759,301.04,84,17,6.66,GH,1709921295
99,brookings,44.3114,-96.7984,275.15,58,0,8.75,US,1709921192
100,utrik,11.2278,169.8474,299.45,78,100,11.15,MH,1709921293
101,mahilyow,53.9139,30.3364,272.28,84,6,3.24,BY,1709921299
102,kimry,56.8667,37.35,268.82,90,77,3.58,RU,1709921301
103,petropavlovsk-kamchatsky,53.0452,158.6483,261.36,91,96,7.6,RU,1709921302
104,road town,18.4167,-64.6167,302.17,70,75,4.12,VG,1709921303
105,port elizabeth,-33.918,25.5701,293.31,87,0,6.17,ZA,1709921005
106,weno,7.4515,151.8468,301.12,83,40,4.12,FM,1709921306
107,port blair,11.6667,92.75,297.87,72,57,2.26,IN,1709921307
108,brasilia de minas,-16.2064,-44.4333,303.06,51,31,2.03,BR,1709921057
